Date,URL,Ideas from me,Quotes from Others,Questions for you
2024-01-18,https://jamesclear.com/3-2-1/january-18-2024,"I.
“The days can be easy if the years are consistent. You can write a book or get in shape or code a piece of software in 30 minutes per day. But the key is you can’t miss a bunch of days.”






Share this on Twitter


​II.
“The wedding is an event, love is a practice.
The graduation is an event, education is a practice.
The race is an event, fitness is a practice.
The heart, mind, and body are endless pursuits.”






Share this on Twitter


III.
“The obvious way to buy back your time is to pay someone to do something for you. Pay the mechanic to change your oil or a dry cleaner to press your suit.
The less obvious way to buy back your time is to say no. Passing on a promotion might “buy” you more time with family. Declining the dinner invite might “pay” for the time you need to exercise. We buy back our time not only with the money we spend, but also with the opportunities we decline.
The more clearly you know how you want to spend your days, the easier it becomes to say no to the requests that steal your hours.”","I.
Psychiatrist and Holocaust survivor Viktor Frankl on freedom:
“Everything can be taken from a person but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances, to choose one’s own way.”
Source: ​Man’s Search For Meaning
​II.
Ethnobotanist and mystic Terence McKenna on courage:
“Nature loves courage. You make the commitment and nature will respond to that commitment by removing impossible obstacles. Dream the impossible dream and the world will not grind you under, it will lift you up. This is the trick. This is what all these teachers and philosophers who really counted, who really touched the alchemical gold, this is what they understood. This is how magic is done. By hurling yourself into the abyss and discovering it’s a feather bed.”
Source: Unfolding the Stone (edited lightly for clarity)","Artist and educator Corita Kent had a set of rules she often shared with her students. One of them read, “There is no win and no fail. There is only make.”
What are you making today?






Share this on Twitter"
2024-01-11,https://jamesclear.com/3-2-1/january-11-2024,"I.
“The pessimist criticizes, the optimist creates.”






Share this on Twitter


​II.
“Save more money than you think you need. Life is unexpected and your future tastes will likely be more expensive. Not worrying about money tomorrow is worth more than whatever you could buy today.”






Share this on Twitter


III.
“I have learned that whenever I think “I don’t have enough time to do that” what I usually mean is “I don’t have enough energy” or “I am not actually interested in doing this.”
What I need to do a better job of is not managing my time, but rather caring for myself and identifying my true interests. When I am well rested and working on something I am genuinely excited about, finding time is rarely a problem.”","I.
Writer and activist James Baldwin on what love looks like:
“The longer I live, the more deeply I learn that love — whether we call it friendship or family or romance — is the work of mirroring and magnifying each other’s light.”
Source: ​Nothing Personal​ (hat tip to ​Jack Cohen​)
​II.
Investor Warren Buffett on holding your temper:
“My good friend and hero, Tom Murphy, had an incredible generosity of spirit. He would do five things for you without thinking about whether you did something for him. After he was done with those five things, he’d be thinking about how to do the sixth. He was also an enormously able person in business and was kind of effortless about it. He didn’t have to shout or scream or anything like that. He did everything in a very relaxed manner.
Forty years ago, Tom gave me one of the best pieces of advice I’ve ever received. He said, “Warren, you can always tell someone to go to hell tomorrow.” It’s such an easy way of putting it. You haven’t missed the opportunity. Just forget about it for a day. If you feel the same way tomorrow, tell them then—but don’t spout off in a moment of anger.”
Source: ​Getting There: A Book of Mentors​","Winston Churchill once said, “It is not enough that we do our best; sometimes we must do what is required.”
Think about what you are working toward this year. Are you doing what is required or are you looking for a shortcut?






Share this on Twitter"
2024-01-04,https://jamesclear.com/3-2-1/january-04-2024,"I.
As we start the new year, a reminder from ​Atomic Habits​:
“New goals don’t deliver new results. New lifestyles do. And a lifestyle is a process, not an outcome. For this reason, all of your energy should go into building better habits, not chasing better results.”






Share this on Twitter


​II.
“A simple filter for managing your time: You’re not focused enough unless you’re mourning some of the things you’re saying no to.”






Share this on Twitter


III.
“Don’t worry about being the most interesting person in the room, just try to be the most interested person in the room.
The interested person asks about others and leaves a good impression because people like talking about themselves.The interested person is genuinely curious about someone’s craft and learns a lot about how things work.The interested person engages with more people and—because opportunities come through people—is more likely to catch a lucky break.
In general, the interested person learns more and tends to be well-liked. And in the long run, it’s hard to keep down someone who is well-learned and well-liked.”","I.
Entrepreneur and investor Matt Griswold offers an approach for life:
“Think in decades and act in days.”
Source: ​Twitter​

​II.
Roman philosopher Musonius Rufus on long-term thinking:
“If you accomplish something good with hard work, the labor passes quickly, but the good endures; if you do something shameful in pursuit of pleasure, the pleasure passes quickly, but the shame endures.”
Source: ​Lectures and Fragments, Fragment 51​","Who are you trying to become this year? Which actions will reinforce that identity?






Share this on Twitter"
2023-12-28,https://jamesclear.com/3-2-1/december-28-2023,"I.
“You will love whatever you pour your heart into. Passion follows commitment.”
(​Share this on Twitter​)

​II.
“The amateur does not know what to do.
The master knows what not to do.”
(​Share this on Twitter​)

III.
“Curiosity can empower you or impede you.
Being curious and focused is a powerful combination. I define this combination as unleashing your curiosity within the domain of a particular task: asking questions about how things work, exploring different lines of attack for solving the problem, reading ideas from outside domains while always looking for ways to transfer the knowledge back to your main task, and so on. Even though you’re exploring widely, you’re generally moving the ball forward on the main thing. You start something and you keep searching until you find an effective way to finish it.
Meanwhile, when your curiosity sends you off in a dozen different directions and fractures your attention, then it can prevent you from focusing on one thing long enough to see it through to completion. Curious, but unfocused. You’re jumping from one topic to the next, they aren’t necessarily related, your efforts don’t accumulate, you’re simply exploring. You start many things and finish few.
How is your curiosity being directed? Is it rocket fuel or a roadblock?”
(Hat tip to Matjaž Leonardis for ​sparking the idea​.)","I.
Wilbur Wright, who worked with his brother to create the first successful airplane, on predicting the future:
“I confess that, in 1901, I said to my brother Orville that men would not fly for 50 years. Two years later, we were making flights. This demonstration of my inability as a prophet gave me such a shock that I have ever since refrained from all prediction.”
Source: Speech at Aero-Club de France (1908)​​

​II.
Entrepreneur and investor Naval Ravikant on jealousy:
“When I was young, I had a lot of jealousy in me… I learned to get rid of it. It still crops up every now and then. It’s such a poisonous emotion because, at the end of the day, you’re no better off, you’re unhappier, and the person you’re jealous of is still successful or good-looking, or whatever they are. I realized that all these people that I was jealous of, I couldn’t just cherry-pick and choose little aspects of their life. I couldn’t say I want his body; I want her money; I want his personality. You have to be that person. Do you want to actually be that person with all of their reactions, their desires, their family, their happiness level, their outlook on life, their self-image? If you’re not willing to do a wholesale, 24/7, 100% swap with who that person is, then there is no point in being jealous.”
Source: ​The Knowledge Project, Episode 18","Who is one person you want to spend more time around next year?
(​Share this on Twitter​)"
2023-12-21,https://jamesclear.com/3-2-1/december-21-2023,"I.
“The information you consume each day is the soil from which your future thoughts grow.”






Share this on Twitter


​II.
“Many of the best things in life grow along the way.
Start hanging out with someone and love grows along the way.Start exercising and motivation grows along the way.Start writing and inspiration grows along the way.
Start now and let the feeling follow.”






Share this on Twitter


III.
“Of all the ways you could be spending your precious time and attention, it is very unlikely that you are currently spending it in the optimal way. The only path I know for figuring out a better way to spend your life is to sit and think. You simply have to carve out some time to think carefully about what you’re doing, why you’re doing it, and what you’re really trying to achieve. Nobody stumbles into a well lived life. It has to be cultivated. Reflection and review are critical.”","I.
Steve Jobs explains the secret to focus:
“People think focus means saying yes to the thing you’ve got to focus on. But that’s not what it means at all. It means saying no to the hundred other good ideas that there are. You have to pick carefully. I’m actually as proud of the things we haven’t done as the things we have done. Innovation is saying no to 1,000 things.”
Source: Worldwide Developers Conference 1997

​II.
Writer C. Raymond Beran on friendship:
“What is a friend? I will tell you.
It is a person with whom you dare to be yourself. Your soul can be naked with him. He seems to ask of you to put on nothing, only to be what you are. He does not want you to be better, or worse. When you are with him, you feel as a prisoner feels who has been declared innocent. You do not have to be on your guard. You can say what you think, so long as it is genuinely you. He understands those contradictions in your nature that lead others to misjudge you.
With him you breathe freely. You can avow your little vanities and envies and hates and vicious sparks, your meannesses and absurdities and, in opening them up to him, they are lost, dissolved on the white ocean of his loyalty. He understands. You do not have to be careful. You can abuse him, neglect him, tolerate him. Best of all, you can keep still with him. It makes no matter. He likes you. He is like fire that purges to the bone. He understands. He understands. You can weep with him, sin with him, laugh with him, pray with him. Through it all—and underneath—he sees, knows and loves you.
A friend? What is a friend? Just one, I repeat, with whom you dare to be yourself.”
Source: The oldest source is an untitled book of poems for 1926, but Beran’s authorship is occasionally disputed. If anyone knows the original source, please share.","What worked well this year and is worth doubling down on in 2024?






Share this on Twitter"
2023-12-14,https://jamesclear.com/3-2-1/december-14-2023,"I.
“When you choose your friends today, you are choosing your habits tomorrow.”






Share this on Twitter


​II.
“It’s easier to optimize a modest start than to begin with a perfect start. Starting is the hard part, so start small and get in the mix. You’ll learn a lot and you’ll realize you don’t need to have it all figured out to begin.”






Share this on Twitter


III.
“Don’t spend too much time around someone whose primary way of engaging with life is as a martyr. When suffering becomes your identity, you only see the hard parts of life.”






Share this on Twitter","I.
Author and poet Maya Angelou on finding your family:
“Family isn’t always blood. It’s the people in your life who want you in theirs; the ones who accept you for who you are. The ones who would do anything to see you smile and who love you no matter what.”
Source: I found it on her ​Facebook page​, but if you know the original source please share.

​II.
Musician and entrepreneur Derek Sivers on how to handle doubts:
“If you’re in doubt about something that’s not in your life, try it. Things are so different in practice versus in theory. The only way to know is to experience it yourself. … Err on the side of yes. Try it. If it was a mistake, at least you’ll know first-hand, instead of always wondering.
If you’re in doubt about something that’s in your life already, get rid of it. Not just things, this goes for identities, habits, goals, relationships, technology, and anything else. Default to not having it, then see how you do without. … Err on the side of no. Get rid of it. Start with a clean slate. If it was a mistake, you’ll get it back with a renewed enthusiasm.”
Source: ​When in Doubt, Try the Difference","What are my favorite hours of the day and what adjustments can I make to ensure they are under my control?






Share this on Twitter"
2023-12-07,https://jamesclear.com/3-2-1/december-7-2023,"I.
“It’s more fun to be a fan than a critic. I’m not looking to spend my life tearing things down, when it can be so satisfying to build things up.”






Share this on Twitter


​II.
“Measure your success against others and you’ll be unhappy when they win—and less likely to receive help from them due to your jealousy.
Measure your success against yourself and you can be happy when others win—and more likely to receive help from them thanks to your support.”

III.
“The way to live a full life is to act quickly.
Particularly as you grow older, it’s alarmingly easy to let a year or two (or five) slip by without doing the big things you always felt like doing. You get into a rhythm—not necessarily one you love, but one you become comfortable repeating—and the grooves of your daily routine become deeper and more established.
Speed is perpetually undervalued. That doesn’t mean you should feel frantic or rushed. In fact, it’s likely you should eliminate some of the things that make you feel so busy to make space for things you always wanted to do. But it definitely means you should stop letting the days drift by waiting for the moment to be right.
Stop acting like there is infinite time. This—the way you are living right now—is your one life.”","Business executive Jay Ferro reveals a truth about work:
“The three stages of career development are:
1. I want to be in the meeting
2. I want to run the meeting
3. I want to avoid meetings.”
Source: ​Twitter​ (edited based on ​this later version​)
​II.
Mathematician and computer scientist Seymour Papert on how our beliefs shape our actions and why we must try to learn new things:
“An unknown but certainly significant proportion of the population has almost completely given up on learning. These people seldom, if ever engage in deliberate learning and see themselves as neither competent at it nor likely to enjoy it. The social and personal cost is enormous.
Although negative self-images can be overcome, in the life of an individual they are extremely robust and powerfully self-reinforcing. Deficiency becomes identity: “I can’t learn French, I don’t have an ear for languages;” “I could never be a businessman, I don’t have a head for figures;”…
If people believe firmly enough that they cannot do math, they will usually succeed in preventing themselves from doing whatever they recognize as math. The consequences of such self-sabotage is personal failure, and each failure reinforces the original belief. And such beliefs may be most insidious when held not only by individuals, but by our entire culture.”
Source: ​Mindstorms​ (lightly edited for clarity)","This question comes from a reader named Mac, who shared ​this story​ with me:
“My dad and I love basketball. We used to play hoops in the front yard almost every day when I was growing up. He was also my coach for many years.
One thing that always stuck with me was him saying “shoot to make it.” I think there’s a lot of moments in basketball and in life where we are just “throwing a shot up” and hoping it goes in.
How I interpreted his mantra was to have intention. If you are going to take a shot, take a good one and take it to make it. I always come back to what he said when I’m evaluating decisions I’m making and actions I take.
Am I shooting to make it?”"
2023-11-30,https://jamesclear.com/3-2-1/november-30-2023,"I.
“You are not the cause of everything that happens to you, but you are responsible for how you respond to everything that happens to you.”






Share this on Twitter


​II.
“It is not too late to do what you want to do—if you stop waiting for the time to be right.”






Share this on Twitter


III.
“Life is harder when you expect a lot of the world and little of yourself.
Life is easier when you expect a lot of yourself and little of the world.
High standards, low expectations.”






Share this on Twitter","I.
Writer F. Scott Fitzgerald on what makes a brilliant mind:
“The test of a first-rate intellect is the ability to hold two opposing ideas in your head at the same time, and still retain the ability to function.”
Source: ​The Crack-Up​
​II.
Psychologist Mihaly Csikszentmihalyi on the value of daily surprises:
“Try to be surprised by something every day. It could be something you see, hear, or read about. Stop to look at the unusual car parked at the curb, taste the new item on the cafeteria menu, actually listen to your colleague at the office. How is this different from other similar cars, dishes or conversations? What is its essence? Don’t assume that you already know what these things are all about, or that even if you knew them, they wouldn’t matter anyway. Experience this one thing for what it is, not what you think it is. Be open to what the world is telling you. Life is nothing more than a stream of experiences — the more widely and deeply you swim in it, the richer your life will be.”
Source: ​Creativity","Challenge yourself to do something out of your normal routine. What is one thing you can do this week that is different than what you do on a normal week?
(​Share this on Twitter​)"
2023-11-23,https://jamesclear.com/3-2-1/november-23-2023,"I.
“Consistency enlarges ability.”






Share this on Twitter


​II.
“You probably don’t want maximum effectiveness.
For example, the most effective way to make money likely requires a lifestyle you don’t want to live. Instead, you want the most effective path that fits your desired lifestyle.
How do you want to spend your days? Start there, then optimize.”

III.
“One of the most unexpected gifts you can receive is an early loss.
Missing out on a job you really wanted.Trying a business idea that fails.Suffering a heartbreak.
An early setback can become the catalyst for a wonderful next chapter—if you channel the emotion effectively.
Disappointment is a hot burning fuel. Let it light your fire to become better.”","I.
Author Steven Pressfield on the boundary between work and self:
“The professional loves her work. She is invested in it wholeheartedly. But she does not forget that the work is not her.”
Source: The War of Art
​II.
Musician Nick Cave on the power of small actions:
“The everyday human gesture is always a heartbeat away from the miraculous.
Remember that ultimately we make things happen through our actions, way beyond our understanding or intention; that our seemingly small ordinary human acts have untold consequences; that what we do in this world means something; that we are not nothing; and that our most quotidian human actions by their nature burst the seams of our intent and spill meaningfully and radically through time and space, changing everything.
Our deeds, no matter how insignificant they may feel, are replete with meaning, and of vast consequence, and that they constantly impact upon the unfolding story of the world, whether we know it or not.”
Source: ​The Red Hand Files, Issue #216​ (lightly edited for clarity)","Half your problems are just your mind making minor things seem like major things.
What are you over-emphasizing right now?






Share this on Twitter"
2023-11-16,https://jamesclear.com/3-2-1/november-16-2023,"I.
“The imperfect project you actually complete is worth more than the perfect project you never finish.”
(​Share this on Twitter​)

​II.
“You won’t always get what you strive for, but you will definitely get what you settle for. You won’t magically outperform your standards.”
(​Share this on Twitter​)

III.
“Be ruthless about what you ignore. Time, energy, and resources are so precious. You have to be ferocious about cutting your priorities—more than you realize and certainly more than is comfortable.
You can only deeply commit to a few things. One or two? Maybe three?
Every pretty good, sorta nice, kinda fun thing you abandon is like shedding a weighted vest that lets you move at top speed. You were so busy focusing on how much you could carry, you never realized you could run this fast.”","I.
Writer and programmer Simon Sarris shares the secret to a good morning:
“The secret to waking up is to wake up way earlier than you have to. When you have 1-2 hours where you can just sit there calmly, drinking coffee, and not be rushed, you feel ten times better. Later on, you can work on being productive in the morning too, if you please.”
Source: ​Twitter​
​II.
Author Karl Ove Knausgard on being fully immersed in life:
“What makes life worth living? No child asks itself that question. To children life is self-evident. Life goes without saying: whether it is good or bad makes no difference. This is because children don’t see the world, don’t observe the world, don’t contemplate the world, but are so deeply immersed in the world that they don’t distinguish between it and their own selves.”
Source: ​Autumn","It’s remarkable how uncomplicated it is most of the time. The hard part is not knowing what to do, but having the resolve to do it. What is one thing you know you should do right now and you just need to step up and do it?
(​Share this on Twitter​)"
2023-11-09,https://jamesclear.com/3-2-1/november-9-2023,"I.
“Forget about peak performance. Would your results improve if you simply focused on being reliable in the normal moments?
Show up when it’s easy to skip. Do the fundamentals and do them well. And so on.
Before you make it complicated, remember there are always simple improvements waiting to be made.”

​II.
“You have to live with your mistakes, but you don’t have to compound them.
To follow up an error with a foolish reaction is to lose twice. Given the reality of where you are right now, what is the best next action?
A wise response may not erase a dumb mistake, but it can redeem it.”

III.
“At some point, you will have to learn to let go.
There is an endless list of obligations and expectations, desires and ambitions, and worries and fears that will always be ready to insert themselves between you and the feeling of peace.
If you never learn to let them go, there will never be enough.”","I.
The television series Mozart in the Jungle reminds us of the beauty of being an amateur:
“You say ‘amateur’ as if it was a dirty word. ‘Amateur’ comes from the Latin word ‘amare’, which means to love. To do things for the love of it.”
Source: Mozart in the Jungle
​II.
Jesuit priest Anthony de Mello calls you to find what grips your soul:
“You must cultivate activities that you love. You must discover work that you do, not for its utility, but for itself, whether it succeeds or not, whether you are praised for it or not, whether you are loved and rewarded for it or not, whether people know about it and are grateful to you for it or not. How many activities can you count in your life that you engage in simply because they delight you and grip your soul? Find them out, cultivate them, for they are your passport to freedom and to love.”
Source: ​The Way to Love","Opportunities in life come through people. Who do you need to connect with to gain access to the opportunities you want?
(​Share this on Twitter​)"
2023-11-02,https://jamesclear.com/3-2-1/november-2-2023,"I.
“For each headache you face, ask yourself, “Is this mostly real or mostly imagined?”
Solve the real problems, release the imaginary ones.”






Share this on Twitter


​II.
“Relax. Your rumination, analysis, worry, and need to control the future are robbing you of the current moment. Yes, there is a time for preparation, but continually thinking of the future guarantees you’ll never enjoy the present.”






Share this on Twitter


III.
“Exerting more effort doesn’t help if you’re on the wrong trajectory.
– Working harder on the wrong thing just wastes more time.
– Learning more from a biased source will lead you further from the truth.
– Doubling down on a toxic relationship only sets you up for more headaches.
Before you try harder, make sure you are walking a path that leads where you want to go.”","I.
Philosopher Eric Hoffer on adaptability:
“In times of change, learners inherit the earth, while the learned find themselves beautifully equipped to deal with a world that no longer exists.”
Source: The True Believer ​

​II.
Author William Martin on the wonders of ordinary life:
“Do not ask your childrento strive for extraordinary lives.Such striving may seem admirable,but it is the way of foolishness.Help them instead to find the wonderand the marvel of an ordinary life.Show them the joy of tastingtomatoes, apples and pears.Show them how to crywhen pets and people die.Show them the infinite pleasurein the touch of a hand.And make the ordinary come alive for them.The extraordinary will take care of itself.”
Source: The Parent’s Tao Te Ching​","Which of your current habits is least aligned with the type of person you hope to become?






Share this on Twitter"
2023-10-26,https://jamesclear.com/3-2-1/october-26-2023,"I.
“Don’t overlook the basics. Don’t ignore the foundation. How long can a tree remain standing without roots?”






Share this on Twitter


​II.
“Simplify. What can be done in three steps should never be done in four. Each link in the chain is a potential breaking point. Fewer links means fewer chances of failure.”






Share this on Twitter


III.
“When you tolerate an error, you rob yourself of learning.
When you ruminate on an error, you rob yourself of happiness.
Notice it, improve it, and move on from it.”






Share this on Twitter","I.
Author Haruki Murakami on the value of reading widely:
“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”
Source: Norwegian Wood (1987)​
​II.
Aikido instructor George Leonard on the willingness to look foolish:
“It’s possible that one of the reasons you got on the path of mastery was to look good. But to learn something new of any significance, you have to be willing to look foolish…
When a Most Valuable Player candidate misjudges a ball and falls on his duff, he does it in the sight of millions. You should be willing to do it before your teacher and a few friends or fellow students. If you’re always thinking about appearances, you can never attain the state of concentration that’s necessary for effective learning and top performance.”
Source: ​Mastery​","Think of your childhood. What is one area where your parents did a good job? What is one area where they could have done better?
(​Share this on Twitter​)"
2023-10-19,https://jamesclear.com/3-2-1/october-19-2023,"I.
“Your relationships will rarely be healthier than your self-esteem.”






Share this on Twitter


​II.
“In many cases, what you want to “buy” isn’t being “sold.”
the best homes usually aren’t for salethe best employees usually aren’t looking
People tend to hold onto the great things in life. They are almost never easily available. If you want to get them, you need enough courage to ask and enough salesmanship to convince them.”

III.
“If you’re stuck on a problem, try solving it at a different level.
If you ask, “What can we do to create a more unified country?” then you end up with vague answers that are difficult to implement. The problem is mostly unmanageable at that level.
But if you ask, “What can I do to create a more unified neighborhood?” then you can likely think of many small things you can do to connect your friends and neighbors.
Zoom in or zoom out. Problems that seem impossible at one level are often quite accessible from a different one.”","I.
Philosopher and author Arthur Schopenhauer on the importance of reflection and contemplation rather than mere reading and research:
“You may accumulate a vast amount of knowledge but it will be of far less value to you than a much smaller amount if you have not thought it over for yourself; because only through ordering what you know by comparing every truth with every other truth can you take complete possession of your knowledge and get it into your power.”
Source: ​Essays and Aphorisms​ (Hat tip to ​Nat Eliason​)
​II.
Yoga teacher and spiritual leader Sadhguru on the miracles of daily life:
“Every moment there are a million miracles happening around you: a flower blossoming, a bird tweeting, a bee humming, a raindrop falling, a snowflake wafting along the clear evening air. There is magic everywhere. If you learn how to live it, life is nothing short of a daily miracle.”
Source: ​Inner Engineering: A Yogi’s Guide to Joy","In your professional life, who do you admire most?
In your personal life, who do you admire most?






Share this on Twitter"
2023-10-12,https://jamesclear.com/3-2-1/october-12-2023,"I.
“Two of my rules for life:
1. The person who has the most fun wins.
2. The climb is the fun part.”






Share this on Twitter


​II.
“Your reputation is your most important asset. It precedes you before you walk into the room and lingers long after the work is done.”






Share this on Twitter


III.
“Big wins tend to be accompanied by some combination of bigger decisions, more uncertainty, and greater risk.
If you want to play at a higher level, you need to be comfortable with greater swings of highs and lows: mentally, emotionally, financially.
You can avoid the swings, but you might be forced to play at a lower level.”","I.
Laura Ingalls Wilder
“The real things haven’t changed. It is still best to be honest and truthful; to make the most of what we have; to be happy with simple pleasures; and have courage when things go wrong.”
Source: ​Laura’s Letter to Children​
​II.
Wendell Berry
“When despair for the world grows in me and I wake in the night at the least sound in fear of what my life and my children’s lives may be, I go and lie down where the wood drake rests in his beauty on the water, and the great heron feeds I come into the peace of wild things who do not tax their lives with forethought of grief. I come into the presence of still water. And I feel above me the day-blind stars waiting with their light. For a time I rest in the grace of the world, and am free.”
Source: ​The Peace of Wild Things","Look back ten years and you can probably identify a few blind spots or mistaken beliefs you held at the time. Now, fast forward ten years from today… what are likely to be your current blind spots? What are you not spending enough time thinking about or perhaps even willfully ignoring?"
2023-10-05,https://jamesclear.com/3-2-1/october-5-2023,"I.
“Before you discover what you love: fewer commitments, more experiments.
After you discover what you love: fewer experiments, more commitments.”






Share this on Twitter


​II.
“It’s hard to save poor early decisions with good late decisions.
It’s hard to write a best-selling book if you chose an unpopular topic.It’s hard to build a happy marriage if you married an unhappy person.It’s hard to make money in real estate if you overpaid at the beginning.
Certainly, things can be improved by making good decisions along the way, but the effects of poor early decisions tend to linger.”

III.
“One filter I use for making decisions: How much can I influence the outcome after the initial choice is made?
When I can do a lot to influence the outcome, I’m less worried about risk. Even if the choice appears risky on the surface, I can likely create a good outcome with effort.
When I can’t do much to influence the outcome, I’m more risk averse. Even my best effort won’t move the needle. Your ability to influence the outcome after a decision is made is a crucial thing to consider.”","I.
Martial artist and actor Bruce Lee on pushing yourself:
“Don’t fear failure. Not failure, but low aim, is the crime. In great attempts it is glorious even to fail.”
Source: ​Striking Thoughts​
​II.
Computer science professor Randy Pausch—who had recently received a terminal pancreatic cancer diagnosis—shares some advice two months before his death:
“It is not the things we do in life that we regret on our death bed. It is the things we do not. I assure you I’ve done a lot of really stupid things, and none of them bother me. All the mistakes, and all the dopey things, and all the times I was embarrassed — they don’t matter. What matters is that I can kind of look back and say: Pretty much any time I got the chance to do something cool I tried to grab for it — and that’s where my solace comes from.”
Source: ​Carnegie Mellon University commencement speech​ (2008)","How can the work you’re doing today accumulate and layer on top of what you did yesterday? Find ways to compound your efforts.






Share this on Twitter"
2023-09-28,https://jamesclear.com/3-2-1/september-28-2023,"I.
“Maintain a margin of safety. If your life is designed only to handle the expected challenges, then it will fall apart as soon as something unexpected happens to you. Always be stronger than you need to be. Leave room for the unexpected.”






Share this on Twitter


​II.
“When you’re in the middle of the work, set your expectations high. It’s unlikely your performance will exceed the standard you set for yourself. High expectations encourage you to keep reaching and fulfill your potential.
Once the work is done, release yourself from your expectations. The fastest way to ruin a good outcome is to tell yourself that it’s not good enough. Your expectations dictate your happiness more than your results.
Expectations can be helpful as a motivator and unhelpful as a measuring stick. Now that the work is done you can rest easy knowing you tried your best. You’ve already won.”

III.
“Many people have a hard time making decisions because they don’t know what is important.
When you have a clear mission and you are completely sure what is important to you, most decisions become easy. Once you’re fully committed, you don’t need rules for how to spend your time. It’s obvious which decision to make. It’s clear what to prioritize.
Many people don’t need productivity or time management advice. They need conviction.”
(Hat tip to ​Jordan O’Connor​.)","Child development author Joseph Chilton Pearce reminds parents (and all leaders) of an important truth:
“What we are teaches the child far more than what we say, so we must be what we want our children to become.”
Source: ​Teaching Children to Love ​
​II.
Ralph Waldo Emerson on the importance of trial and error as a way of living:
“Do not be too timid and squeamish about your actions. All life is an experiment. The more experiments you make the better. What if they are a little coarse, and you may get your coat soiled or torn? What if you do fail, and get fairly rolled in the dirt once or twice. Up again, you shall never be so afraid of a tumble.”
Source: ​Journal entry (November 1842)","Imagine you are at the end of your life and you are granted the ability to repeat one day. Which period of your life do you choose to repeat? Which phase of life would you want to go back to? Does that tell you anything about how you should be spending your time today?






Share this on Twitter"
2023-09-21,https://jamesclear.com/3-2-1/september-21-2023,"I.
“The person who tells the best story rules their corner of the world.”






Share this on Twitter


​II.
“Your relationships will rarely be healthier than your self-esteem.
If the time you spend alone is already enjoyable to some degree—that is, if you have a healthy internal monologue and generally feel good about yourself—then you will have a fairly high bar for the type of relationships you’ll enter.
But if you’re unhappy with yourself, then you are more likely to put up with bad relationships because they may occasionally make you feel better than you do alone. If you want a great relationship, the first thing you want is to be comfortable with yourself.”

III.
“Optimism early, pessimism in the middle, optimism late.
Your starting position has to be somewhat optimistic or you’ll talk yourself out of getting started. Believing in what you are about to do does not guarantee success, but a lack of belief can prevent it.
Once you’ve committed, pessimism becomes useful. Question things. Find holes in your plan. Hold yourself to a high standard and try to identify your mistaken beliefs before they become your misplaced actions.
After you’ve spent some time troubleshooting, it’s back to optimism again. Nothing will ever be perfect, but you have to act anyway. Progress requires the courage to forge ahead despite the inevitable obstacles.”","I.
Painter and furniture maker Francis Jourdain on simplicity:
“One can furnish a room very luxuriously by taking out furniture rather than putting it in.”
Source: ​The Simple Guide to a Minimalist Life​
​II.
Writer Jeanette Winterson on forgiveness:
“The way you depict your own life is important. For some people, it’s either revenge—they’re always looking for someone else to blame and to get back at—or it’s tragedy because the whole thing is such a bloody mess and they’ll never get out of it. But the moment that you can forgive, you take back the power and the healing waters flow.”
Source: ​Women at Work Vol II: Interviews from the Paris Review","Think about something you are facing right now. Have you been trying to think your way to a solution or act your way to a solution? Sometimes you need more action, sometimes you need a better strategy.






Share this on Twitter"
2023-09-14,https://jamesclear.com/3-2-1/september-14-2023,"I.
“The odds increase, the more you try.”






Share this on Twitter


​II.
“Arguably the most important skill is controlling your attention. This goes beyond merely avoiding distractions. The deeper skill is finding the highest and best use for your time, given what is important to you. More than anything else, controlling your attention is about being able to figure out what you should be working on and identifying what truly moves the needle.”

III.
“When you’re doing something hard, focus on the fun part.
Many people make a subtle mistake, which is they emphasize how difficult it is to do something. They tell themselves writing is hard or running is hard or math is hard. And so on. The dominant thought in their mind is that this is hard to do.
And it is true these things (and many others in life) can be challenging.
Meanwhile, people who thrive in a given area are often emphasizing a completely different aspect of the experience. They are thinking about how it feels good to move their body rather than telling themselves exercise is hard. Or, perhaps, they aren’t really thinking much at all. They may slip into a trance during their run, a meditative rhythm.
But what they are almost certainly not doing is repeating a mental story about how hard it is to do the thing. Their dominant thought is about some element of the experience they enjoy. They are working hard, but with the fun part in mind.”","I.
Ernest Hemingway on being resilient and resourceful:
“Now is no time to think of what you do not have. Think of what you can do with what there is.”
Source: ​The Old Man and the Sea​

​II.
Chef Wylie Dufresne on the value of simplicity:
“Jean-Georges Vongerichten showed me the value in taking away, taking things off of a plate. He always talked about two, three, four elements on a plate. That’s it. The more you put on the plate, the easier it is to hide. The more you take away, there’s nowhere to hide—it has to be good.”
Source: ​A Conversation with Wylie Dufresne","Who do you still owe an apology? Can you make one in the next 5 minutes?
(​Share this on Twitter​)"
